	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/mary-shelley/mary-shelley-tales-stories
graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	0	0.630033648678	1.26277958172	1.72683662221	1.11215809919	1.61546852429	0.181663423199	1.32772554237	1.10144725126	0.392627571901	2.33952187287	0.650962289999	4.38510734755	1.28787387824	6.2672991086	5.88268636	6.50029877685	6.78818251455	2.13401569716	0.230897017889	0.992307412812	1.11309573085	6.9233218463	3.01194851271	1.07314871281	5.89770132767	6.2052269465	0.946966193759	2.52906105461	2.86983503853	0.643591726516	1.27272444026	1.0922425287	1.22480576198	1.65279485886	6.59365339316	1.12057913035	6.10252802195	0.0515153475089	1.27216884669	1.79747079657	3.7655673298	5.51785805041	0.815741527917	1.15652609876
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	0.630033648678	0	1.8928132304	2.35687027088	0.482124450509	2.24550217297	0.448370225479	1.95775919105	0.471413602578	0.237406076777	2.96955552155	0.0209286413213	5.01514099622	1.91790752692	6.89733275727	6.51272000867	7.13033242552	7.41821616323	2.76404934584	0.860930666566	0.362273764135	1.74312937953	7.55335549498	3.64198216139	0.443115064129	6.52773497635	6.83526059517	0.316932545082	3.15909470329	3.49986868721	1.27362537519	1.90275808893	1.72227617738	1.85483941065	2.28282850754	7.22368704184	1.75061277903	6.73256167063	0.681548996186	1.90220249537	2.42750444525	4.39560097847	6.14789169909	0.18570787924	0.526492450084
graphletCounts/gustave-flaubert/gustave-flaubert-short-works	1.26277958172	1.8928132304	0	0.464057040488	2.37493768091	0.352688942574	1.44444300492	0.0649459606527	2.36422683298	1.65540715362	1.07674229115	1.91374187172	3.12232776583	0.025094296523	5.00451952688	4.61990677828	5.23751919513	5.52540293283	0.871236115442	1.03188256383	2.25508699453	0.149683850869	5.66054226458	1.74916893099	2.33592829453	4.63492174595	4.94244736478	2.20974577548	1.26628147289	1.60705545681	0.619187855203	0.00994485853558	0.170537053021	0.0379738197434	0.390015277138	5.33087381144	0.14220045137	4.83974844023	1.21126423421	0.00938926496996	0.534691214854	2.50278774808	4.25507846869	2.07852110964	2.41930568048
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	1.72683662221	2.35687027088	0.464057040488	0	2.83899472139	0.111368097913	1.90850004541	0.399111079835	2.82828387346	2.11946419411	0.612685250661	2.37779891221	2.65827072534	0.438962743965	4.54046248639	4.15584973779	4.77346215464	5.06134589235	0.407179074954	1.49593960432	2.71914403502	0.613740891357	5.19648522409	1.2851118905	2.79998533501	4.17086470546	4.47839032429	2.67380281597	0.802224432402	1.14299841633	1.08324489569	0.454112181952	0.634594093508	0.502030860231	0.0740417633493	4.86681677095	0.606257491858	4.37569139975	1.6753212747	0.454667775518	0.070634174366	2.03873070759	3.79102142821	2.54257815012	2.88336272097
graphletCounts/mary-shelley/mary-shelley-prosepine-midas	1.11215809919	0.482124450509	2.37493768091	2.83899472139	0	2.72762662348	0.930494675988	2.43988364156	0.0107108479314	0.719530527286	3.45167997206	0.461195809188	5.49726544673	2.40003197743	7.37945720778	6.99484445918	7.61245687603	7.90034061374	3.24617379635	1.34305511708	0.119850686374	2.22525383004	8.03547994549	4.12410661189	0.0390093863803	7.00985942686	7.31738504568	0.165191905428	3.6412191538	3.98199313772	1.7557498257	2.38488253944	2.20440062789	2.33696386116	2.76495295804	7.70581149235	2.23273722954	7.21468612114	1.1636734467	2.38432694588	2.90962889576	4.87772542898	6.6300161496	0.29641657127	0.0443679995752
graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	1.61546852429	2.24550217297	0.352688942574	0.111368097913	2.72762662348	0	1.79713194749	0.287742981921	2.71691577555	2.00809609619	0.724053348575	2.26643081429	2.76963882325	0.327594646051	4.6518305843	4.2672178357	4.88483025255	5.17271399026	0.518547172868	1.38457150641	2.60777593711	0.502372793443	5.30785332201	1.39647998841	2.6886172371	4.28223280338	4.5897584222	2.56243471805	0.913592530316	1.25436651424	0.971876797777	0.342744084039	0.523225995595	0.390662762318	0.0373263345642	4.97818486887	0.494889393944	4.48705949766	1.56395317678	0.343299677604	0.18200227228	2.1500988055	3.90238952612	2.43121005221	2.77199462306
graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	0.181663423199	0.448370225479	1.44444300492	1.90850004541	0.930494675988	1.79713194749	0	1.50938896557	0.919783828057	0.210964148702	2.52118529607	0.4692988668	4.56677077074	1.46953730144	6.4489625318	6.06434978319	6.68196220005	6.96984593775	2.31567912036	0.412560441087	0.810643989614	1.29475915405	7.1049852695	3.19361193591	0.891485289608	6.07936475087	6.3868903697	0.765302770561	2.71072447781	3.05149846173	0.825255149715	1.45438786345	1.2739059519	1.40646918517	1.83445828206	6.77531681636	1.30224255355	6.28419144515	0.233178770708	1.45383226989	1.97913421977	3.94723075299	5.69952147361	0.634078104719	0.974862675563
graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	1.32772554237	1.95775919105	0.0649459606527	0.399111079835	2.43988364156	0.287742981921	1.50938896557	0	2.42917279363	1.72035311427	1.0117963305	1.97868783237	3.05738180517	0.0398516641297	4.93957356622	4.55496081762	5.17257323448	5.46045697218	0.806290154789	1.09682852448	2.32003295518	0.214629811522	5.59559630393	1.68422297034	2.40087425518	4.5699757853	4.87750140412	2.27469173613	1.20133551224	1.54210949616	0.684133815856	0.0550011021172	0.235483013673	0.102919780396	0.325069316486	5.26592785079	0.207146412023	4.77480247958	1.27621019486	0.0555566956828	0.469745254201	2.43784178742	4.19013250804	2.14346707029	2.48425164113
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	1.10144725126	0.471413602578	2.36422683298	2.82828387346	0.0107108479314	2.71691577555	0.919783828057	2.42917279363	0	0.708819679355	3.44096912412	0.450484961257	5.4865545988	2.3893211295	7.36874635985	6.98413361125	7.6017460281	7.88962976581	3.23546294842	1.33234426914	0.109139838443	2.21454298211	8.02476909756	4.11339576396	0.0282985384489	6.99914857893	7.30667419775	0.154481057496	3.63050830587	3.97128228979	1.74503897777	2.37417169151	2.19368977995	2.32625301323	2.75424211011	7.69510064442	2.22202638161	7.20397527321	1.15296259876	2.37361609795	2.89891804783	4.86701458105	6.61930530167	0.285705723338	0.0550788475066
graphletCounts/mary-shelley/mary-shelley-frankenstein	0.392627571901	0.237406076777	1.65540715362	2.11946419411	0.719530527286	2.00809609619	0.210964148702	1.72035311427	0.708819679355	0	2.73214944477	0.258334718098	4.77773491945	1.68050145014	6.6599266805	6.2753139319	6.89292634875	7.18081008645	2.52664326906	0.623524589789	0.599679840912	1.50572330275	7.3159494182	3.40457608461	0.680521140906	6.29032889957	6.5978545184	0.554338621858	2.92168862651	3.26246261043	1.03621929842	1.66535201216	1.4848701006	1.61743333388	2.04542243076	6.98628096506	1.51320670225	6.49515559386	0.44414291941	1.66479641859	2.19009836847	4.1581949017	5.91048562231	0.423113956016	0.763898526861
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	2.33952187287	2.96955552155	1.07674229115	0.612685250661	3.45167997206	0.724053348575	2.52118529607	1.0117963305	3.44096912412	2.73214944477	0	2.99048416287	2.04558547468	1.05164799463	3.92777723573	3.54316448713	4.16077690398	4.44866064169	0.205506175707	2.10862485498	3.33182928568	1.22642614202	4.58379997343	0.672426639839	3.41267058568	3.5581794548	3.86570507363	3.28648806663	0.189539181741	0.530313165665	1.69593014635	1.06679743261	1.24727934417	1.11471611089	0.686727014011	4.25413152029	1.21894274252	3.76300614909	2.28800652536	1.06735302618	0.542051076295	1.42604545693	3.17833617754	3.15526340079	3.49604797163
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	0.650962289999	0.0209286413213	1.91374187172	2.37779891221	0.461195809188	2.26643081429	0.4692988668	1.97868783237	0.450484961257	0.258334718098	2.99048416287	0	5.03606963754	1.93883616824	6.9182613986	6.53364864999	7.15126106685	7.43914480455	2.78497798716	0.881859307887	0.341345122814	1.76405802085	7.5742841363	3.66291080271	0.422186422808	6.54866361767	6.8561892365	0.29600390376	3.18002334461	3.52079732853	1.29455401652	1.92368673025	1.7432048187	1.87576805198	2.30375714886	7.24461568316	1.77154142035	6.75349031195	0.702477637508	1.92313113669	2.44843308657	4.4165296198	6.16882034041	0.164779237918	0.505563808763
graphletCounts/walter-scott/walter-scott-ivanhoe	4.38510734755	5.01514099622	3.12232776583	2.65827072534	5.49726544673	2.76963882325	4.56677077074	3.05738180517	5.4865545988	4.77773491945	2.04558547468	5.03606963754	0	3.0972334693	1.88219176105	1.49757901245	2.1151914293	2.40307516701	2.25109165038	4.15421032966	5.37741476036	3.2720116167	2.53821449876	1.37315883484	5.45825606035	1.51259398012	1.82011959895	5.3320735413	1.85604629294	1.51527230901	3.74151562103	3.11238290729	3.29286481885	3.16030158557	2.73231248869	2.20854604561	3.2645282172	1.71742067441	4.33359200004	3.11293850086	2.58763655097	0.619540017749	1.13275070287	5.20084887546	5.54163344631
graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	1.28787387824	1.91790752692	0.025094296523	0.438962743965	2.40003197743	0.327594646051	1.46953730144	0.0398516641297	2.3893211295	1.68050145014	1.05164799463	1.93883616824	3.0972334693	0	4.97942523035	4.59481248175	5.2124248986	5.50030863631	0.846141818919	1.05697686035	2.28018129106	0.174778147392	5.63544796806	1.72407463447	2.36102259105	4.60982744943	4.91735306825	2.234840072	1.24118717637	1.58196116029	0.644282151726	0.0151494379874	0.195631349544	0.0630681162664	0.364920980615	5.30577951492	0.167294747893	4.81465414371	1.23635853073	0.0157050315531	0.509596918331	2.47769345155	4.22998417217	2.10361540616	2.444399977
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	6.2672991086	6.89733275727	5.00451952688	4.54046248639	7.37945720778	4.6518305843	6.4489625318	4.93957356622	7.36874635985	6.6599266805	3.92777723573	6.9182613986	1.88219176105	4.97942523035	0	0.384612748601	0.232999668251	0.520883405957	4.13328341144	6.03640209071	7.25960652141	5.15420337775	0.656022737705	3.25535059589	7.3404478214	0.369597780927	0.0620721620995	7.21426530236	3.73823805399	3.39746407006	5.62370738208	4.99457466834	5.1750565799	5.04249334662	4.61450424974	0.326354284563	5.14671997825	0.164771086642	6.21578376109	4.99513026191	4.46982831202	2.5017317788	0.749441058184	7.08304063651	7.42382520736
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	5.88268636	6.51272000867	4.61990677828	4.15584973779	6.99484445918	4.2672178357	6.06434978319	4.55496081762	6.98413361125	6.2753139319	3.54316448713	6.53364864999	1.49757901245	4.59481248175	0.384612748601	0	0.617612416852	0.905496154558	3.74867066283	5.65178934211	6.87499377281	4.76959062915	1.04063548631	2.87073784729	6.9558350728	0.0150149676741	0.322540586502	6.82965255375	3.35362530539	3.01285132146	5.23909463348	4.60996191974	4.7904438313	4.65788059802	4.22989150114	0.710967033164	4.76210722965	0.219841661959	5.83117101249	4.61051751331	4.08521556342	2.1171190302	0.364828309583	6.69842788791	7.03921245876
